pkSeqID,saddr,daddr,proto,dport,seq,stddev,N_IN_Conn_P_SrcIP,min,state_number,mean,N_IN_Conn_P_DstIP,drate,srate,max,attack
1,192.168.1.101,10.0.0.1,udp,1883,1,2.5,3,40,1,120,2,0.5,1.2,200,0
2,192.168.1.102,10.0.0.1,tcp,443,2,3.1,4,38,2,98,3,0.3,0.8,180,0
3,192.168.1.103,10.0.0.1,udp,5683,3,1.8,2,42,1,85,2,0.4,1.0,160,0
4,192.168.1.101,10.0.0.1,tcp,80,4,2.2,3,35,2,110,2,0.6,1.5,195,0
5,192.168.1.102,10.0.0.1,udp,1883,5,2.9,5,45,1,145,3,0.7,1.1,210,0
6,203.0.113.10,192.168.1.101,udp,80,6,85.2,120,800,6,1200,45,890.5,1200.0,1500,1
7,203.0.113.10,192.168.1.102,udp,53,7,92.1,135,750,6,950,50,920.3,1350.0,1400,1
8,203.0.113.10,192.168.1.103,udp,80,8,78.5,110,820,6,1100,42,850.8,1150.0,1450,1
9,192.168.1.103,10.0.0.1,tcp,22,9,1.5,2,55,2,60,2,0.2,0.5,90,0
10,192.168.1.101,10.0.0.1,tcp,443,10,3.3,4,48,2,75,3,0.4,0.9,130,0
11,45.33.32.156,192.168.1.101,tcp,22,11,55.0,80,30,5,70,35,450.2,680.0,120,1
12,45.33.32.156,192.168.1.102,tcp,23,12,48.5,75,28,5,65,32,420.8,650.0,115,1
13,45.33.32.156,192.168.1.103,tcp,3389,13,52.3,82,32,5,72,38,460.1,700.0,125,1
14,192.168.1.102,10.0.0.1,tcp,443,14,2.7,3,50,2,93,2,0.3,0.7,155,0
15,192.168.1.103,10.0.0.1,udp,5683,15,1.9,2,44,1,90,2,0.5,1.1,170,0
16,198.51.100.5,192.168.1.101,tcp,80,16,120.5,200,1000,6,1400,60,1500.0,2200.0,1800,1
17,198.51.100.5,192.168.1.102,udp,53,17,135.2,220,950,6,1350,65,1650.0,2400.0,1750,1
18,198.51.100.5,192.168.1.103,tcp,443,18,110.8,190,1050,6,1250,55,1450.0,2100.0,1650,1
19,192.168.1.101,10.0.0.1,udp,1883,19,2.1,3,38,1,130,2,0.6,1.3,205,0
20,192.168.1.102,10.0.0.1,tcp,80,20,3.5,4,42,2,105,3,0.4,0.8,175,0
21,10.0.0.42,192.168.1.101,tcp,445,21,42.0,65,20,4,58,28,380.5,550.0,100,1
22,10.0.0.42,192.168.1.102,tcp,139,22,38.5,60,18,4,55,25,350.2,520.0,95,1
23,192.168.1.103,10.0.0.1,tcp,443,23,4.0,5,52,2,850,3,0.5,0.9,1200,0
24,192.168.1.101,10.0.0.1,tcp,8883,24,1.6,2,46,2,95,2,0.3,0.6,140,0
25,192.168.1.102,10.0.0.1,udp,1883,25,2.8,3,40,1,112,2,0.4,1.0,185,0
26,203.0.113.55,192.168.1.101,udp,80,26,95.0,140,850,6,1150,48,900.5,1280.0,1500,1
27,203.0.113.55,192.168.1.102,udp,53,27,88.3,130,780,6,1050,44,870.2,1200.0,1400,1
28,203.0.113.55,192.168.1.103,tcp,80,28,105.6,155,900,6,1300,52,950.8,1350.0,1600,1
29,192.168.1.101,10.0.0.1,tcp,443,29,3.2,4,48,2,78,3,0.3,0.7,125,0
30,192.168.1.103,10.0.0.1,udp,5683,30,1.7,2,42,1,66,2,0.5,1.2,110,0
31,172.16.8.7,192.168.1.102,tcp,22,31,60.0,90,25,5,68,40,500.0,750.0,130,1
32,172.16.8.7,192.168.1.103,tcp,23,32,55.5,85,22,5,62,36,470.5,710.0,120,1
33,192.168.1.102,10.0.0.1,tcp,443,33,2.5,3,50,2,93,2,0.4,0.8,150,0
34,192.168.1.101,10.0.0.1,udp,1883,34,2.0,3,36,1,140,2,0.6,1.4,215,0
35,192.168.1.103,10.0.0.1,tcp,80,35,3.8,5,44,2,88,3,0.3,0.6,145,0
36,77.8.2.19,192.168.1.101,udp,80,36,130.0,210,1100,6,1450,62,1600.0,2300.0,1850,1
37,77.8.2.19,192.168.1.102,tcp,443,37,125.5,205,1050,6,1380,58,1550.0,2250.0,1780,1
38,77.8.2.19,192.168.1.103,udp,53,38,140.2,225,1150,6,1500,68,1700.0,2500.0,1900,1
39,192.168.1.101,10.0.0.1,tcp,8883,39,1.4,2,48,2,78,2,0.2,0.5,120,0
40,192.168.1.102,10.0.0.1,udp,1883,40,2.6,3,38,1,125,2,0.5,1.1,190,0
41,112.55.9.8,192.168.1.101,tcp,80,41,65.0,95,28,5,75,42,520.0,780.0,140,1
42,112.55.9.8,192.168.1.102,udp,53,42,58.5,88,24,5,68,38,480.5,730.0,125,1
43,112.55.9.8,192.168.1.103,tcp,443,43,72.0,100,30,5,80,45,550.0,820.0,150,1
44,192.168.1.103,10.0.0.1,udp,5683,44,1.6,2,40,1,82,2,0.4,1.0,135,0
45,192.168.1.101,10.0.0.1,tcp,443,45,3.0,4,46,2,90,3,0.3,0.7,148,0
46,192.168.1.102,10.0.0.1,tcp,80,46,2.4,3,42,2,100,2,0.5,1.0,165,0
47,192.168.1.103,10.0.0.1,udp,1883,47,2.2,3,38,1,115,2,0.6,1.2,185,0
48,192.168.1.101,10.0.0.1,tcp,8883,48,1.8,2,50,2,82,2,0.2,0.4,130,0
49,192.168.1.102,10.0.0.1,udp,5683,49,2.0,2,44,1,88,2,0.4,0.9,145,0
50,192.168.1.103,10.0.0.1,tcp,443,50,3.5,5,48,2,95,3,0.3,0.6,155,0
